Description,Price,Rating,ReviewCount,Url
"Dell U4320Q 43 Inch 2160p 4K UltraSharp, IPS Thin Bezel Monitor, HDMI, DisplayPort, USB-C, VESA Certified, Black",$866.94,4.6 out of 5 stars,136,https://www.amazon.com/Dell-U4320Q-UltraSharp-Business-Warranty/dp/B084LB7RN2/ref=sr_1_17?dchild=1&keywords=monitor&qid=1629407109&sr=8-17
"ASUS 27” 1080P Monitor (VA27DQ) - Full HD, IPS, 75Hz, Speakers, Adaptive-sync/FreeSync, Low Blue Light, Flicker Free, VESA Mountable, Frameless, HDMI, VGA, DisplayPort, Tilt Adjustable",$169.00,4.5 out of 5 stars,13,https://www.amazon.com/ASUS-1080P-Monitor-VA27DQ-Adaptive-sync/dp/B093F8589L/ref=sr_1_18?dchild=1&keywords=monitor&qid=1629407109&sr=8-18
"LG 43UN700-B 43 Inch Class UHD (3840 X 2160) IPS Display with USB Type-C and HDR10 with 4 HDMI inputs, Black",$596.99,4.4 out of 5 stars,500,https://www.amazon.com/LG-43UN700-B-Display-Type-C-inputs/dp/B0821WWXV6/ref=sr_1_19?dchild=1&keywords=monitor&qid=1629407109&sr=8-19
"Sceptre 27 inch QHD IPS LED Monitor 2560x1440 HDR400 HDMI DisplayPort up to 144Hz 1ms Height Adjustable, Build-in Speakers, Gunmetal Black 2021 (E275B-QPN168)",$329.99,4.4 out of 5 stars,75,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0826307FR5DI5SBCMN2&url=%2FSceptre-2560x1440-DisplayPort-Adjustable-E275B-QPN168%2Fdp%2FB08SZH8J2T%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407109%26sr%3D8-20-spons%26psc%3D1&qualifier=1629407109&id=939663569547825&widgetName=sp_btf
"SideTrak Solo Portable Monitor 15.8” FHD 1080P LED Anti-Glare IPS Screen| Compatible with Mac, PC, Chrome, PS4, Xbox, & Switch | Powered by USB or HDMI | Built-in DisplayPort, Stand, Speakers, & HDR",$299.99,4.4 out of 5 stars,19,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01674091HK5ISAJYU2LT&url=%2FSideTrak-Solo-Portable-Anti-Glare-Compatible-DisplayPort%2Fdp%2FB092W7Y8XT%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407109%26sr%3D8-21-spons%26psc%3D1&qualifier=1629407109&id=939663569547825&widgetName=sp_btf
"Smart Watch for Men Women(Make/Answer Call, 1.28 Inch, Bluetooth), Fitness Tracker with Real-Time Monitor, App Message Reminder, Waterproof Smart Watch for Android iOS Phones (Steel & Silicone Band)",$119.99,4.1 out of 5 stars,17,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A066314819SU67XMS0VM9&url=%2FBluetooth-Real-Time-Reminder-Waterproof-Silicone%2Fdp%2FB094J77BFK%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407109%26sr%3D8-22-spons%26psc%3D1&qualifier=1629407109&id=939663569547825&widgetName=sp_btf
"METIYA Standing Desk Converter, 37"" Sit Stand Desk Riser Fits Dual Monitors for Home Office - Two Tiered Height Adjustable Standup Computer Desk Workstation with Removal Keyboard Tray, Black",$128.99,5.0 out of 5 stars,2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A07101852K25ME78BZTL6&url=%2FMETIYA-Standing-Converter-Monitors-Office%2Fdp%2FB08SQ6KX8F%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407111%26sr%3D8-17-spons%26psc%3D1&qualifier=1629407111&id=1503860663595328&widgetName=sp_atf_next
"LG 27UL500-W 27-Inch UHD (3840 x 2160) IPS Monitor with Radeon Freesync Technology and HDR10, White",$349.38,4.7 out of 5 stars,"2,138",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0766526J4HHIMFW5EOJ&url=%2FLG-27UL500-W-27-Inch-Freesync-Technology%2Fdp%2FB07PGL2WVS%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407111%26sr%3D8-18-spons%26psc%3D1&qualifier=1629407111&id=1503860663595328&widgetName=sp_atf_next
"19 Inch PC Monitor(1440x900),60 Hz, 5 ms,Brightness 250 cd/m²,Built-in Speaker,HDMI & VGA Interface,Display Screen for Laptop/PS3/PS4/X-Box/PC,Black,Prechen",$99.99,4.1 out of 5 stars,280,https://www.amazon.com/Monitor-1366x768-Brightness-Interface-Prechen/dp/B0863881T1/ref=sr_1_19?dchild=1&keywords=monitor&qid=1629407111&sr=8-19
"Dell S3422DW - 34-inch WQHD 21:9 Curved Monitor, 3440 x 1440 at 100Hz, 1800R, Built-in Dual 5W Speakers, 4ms Grey-to-Grey Response Time (Extreme Mode), 16.7 Million Colors, Silver (Latest Model)",$504.56,3.7 out of 5 stars,4,https://www.amazon.com/Dell-S3422DW-Built-Grey-Grey/dp/B08YDQTN4Z/ref=sr_1_20?dchild=1&keywords=monitor&qid=1629407111&sr=8-20
"AOC C32G2 32"" Curved Frameless Gaming Monitor FHD, 1500R Curved VA, 1ms, 165Hz, FreeSync, Height adjustable, 3-Year Zero Dead Pixel Policy, Black",$239.99,4.7 out of 5 stars,"10,930",https://www.amazon.com/AOC-C32G2-Frameless-FreeSync-adjustable/dp/B08BT9DZQW/ref=sr_1_21?dchild=1&keywords=monitor&qid=1629407111&sr=8-21
"Sceptre 27-Inch FHD LED Gaming Monitor 75Hz 2X HDMI VGA Build-in Speakers, Ultra Slim Metal Black",$149.98,4.6 out of 5 stars,86,https://www.amazon.com/Sceptre-27-Inch-Gaming-Monitor-Speakers/dp/B078HSKBG3/ref=sr_1_22?dchild=1&keywords=monitor&qid=1629407111&sr=8-22
"Dell S3422DWG - 34-inch WQHD (3440 x 1440) 21:9 144Hz Curved Gaming Monitor, HDR 400, 1800R Curvature, 2ms Grey-to-Grey Response Time (Extreme Mode), 16.7 Million Colors, Black (Latest Model)",$534.98,4.5 out of 5 stars,8,https://www.amazon.com/Dell-S3422DWG-Curvature-Grey-Grey/dp/B095X7RV77/ref=sr_1_23?dchild=1&keywords=monitor&qid=1629407111&sr=8-23
"HP VH240a 23.8-Inch Full HD 1080p IPS LED Monitor with Built-In Speakers and VESA Mounting, Rotating Portrait & Landscape, Tilt, and HDMI & VGA Ports (1KL30AA) - Black",$212.34,4.7 out of 5 stars,"23,832",https://www.amazon.com/HP-23-8-inch-Adjustment-Speakers-VH240a/dp/B072M34RQC/ref=sr_1_24?dchild=1&keywords=monitor&qid=1629407111&sr=8-24
"LG 38WN75C-B 38-Inch Class 21:9 Curved UltraWide QHD+ (3840 x 1600) IPS Display with HDR 10 and Tilt/Height Adjustable Stand, Black",$896.99,4.6 out of 5 stars,235,https://www.amazon.com/LG-38WN75C-B-38-Inch-Class-Adjustable/dp/B087YZG5YS/ref=sr_1_25?dchild=1&keywords=monitor&qid=1629407111&sr=8-25
"HP Pavilion 22cwa 21.5-Inch Full HD 1080p IPS LED Monitor, Tilt, VGA and HDMI (T4Q59AA) - Black",$134.99,4.6 out of 5 stars,"12,242",https://www.amazon.com/HP-Pavilion-21-5-Inch-Monitor-22cwa/dp/B015WCV70W/ref=sr_1_26?dchild=1&keywords=monitor&qid=1629407111&sr=8-26
"Samsung Galaxy Watch 4 Classic 42mm Smartwatch Bluetooth, Silver (US Version) with SAMSUNG Wireless Charger Fast Charge Pad Duo (2021), Black",$349.99,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0646347HZZCDLZ9CS9F&url=%2FSamsung-Smartwatch-Bluetooth-SAMSUNG-Wireless%2Fdp%2FB099Z2X75J%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407111%26sr%3D8-27-spons%26psc%3D1&qualifier=1629407111&id=1503860663595328&widgetName=sp_mtf
"Smart Watch for Women Men,ZEEKER Fitness Tracker Watches for Android/iOS with Sleep Heart Rate Monitor and Blood Oxygen,5 ATM Waterproof Smartwatch with Music/Camera Control for Sport Outdoor",$49.99,4.6 out of 5 stars,5,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A04058593URYG2XF0AU8U&url=%2FZEEKER-Fitness-Tracker-Waterproof-Smartwatch%2Fdp%2FB097XNT3GR%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407111%26sr%3D8-28-spons%26psc%3D1&qualifier=1629407111&id=1503860663595328&widgetName=sp_mtf
"SAMSUNG S60A Series 32-Inch WQHD (2560x1440) Computer Monitor, 75Hz, HDMI, Display Port, HDR10 (1 Billion Colors), Height Adjustable Stand, TUV-Certified Intelligent Eye Care (LS32A600NWNXGO)",$369.99,4.3 out of 5 stars,814,https://www.amazon.com/SAMSUNG-Adjustable-TUV-Certified-Intelligent-LS32A600NWNXGO/dp/B08V6MV8MC/ref=sr_1_29?dchild=1&keywords=monitor&qid=1629407111&sr=8-29
"LG 24MP400-B 24” Full HD (1920 x 1080) IPS Display with 3-Side Virtually Borderless Design, AMD FreeSync and OnScreen Control – Black",$169.99,,Only 20 left in stock (more on the way).,https://www.amazon.com/LG-24MP400-B-Virtually-Borderless-FreeSync/dp/B097NWD3TL/ref=sr_1_30?dchild=1&keywords=monitor&qid=1629407111&sr=8-30
LG 27GN800-B 27 Inch Ultragear QHD (2560 x 1440) IPS Gaming Monitor with IPS 1ms (GtG) Response Time / 144Hz Refresh Rate and NVIDIA G-SYNC Compatible with AMD FreeSync Premium - Black,$296.40,4.7 out of 5 stars,"11,249",https://www.amazon.com/LG-27GN800-B-Ultragear-Response-Compatible/dp/B08LLD2QXJ/ref=sr_1_31?dchild=1&keywords=monitor&qid=1629407111&sr=8-31
"Philips 226E9QDSB 22"" frameless monitor, Full HD IPS, FreeSync 75Hz, VESA, 4Yr Advance Replacement Warranty",$169.99,4.6 out of 5 stars,"9,519",https://www.amazon.com/Philips-226E9QDSB-Frameless-1920x1080-FreeSync/dp/B07DMCLYHY/ref=sr_1_32?dchild=1&keywords=monitor&qid=1629407111&sr=8-32
"ViewSonic VA2055SA 20 Inch 1080p LED Monitor with VGA Input and Enhanced Viewing Comfort,Black",$139.99,4.4 out of 5 stars,800,https://www.amazon.com/ViewSonic-VA2055SA-Monitor-Enhanced-Viewing/dp/B00Z0UX93U/ref=sr_1_33?dchild=1&keywords=monitor&qid=1629407111&sr=8-33
"LG 24M47VQ 24-Inch LED-lit Monitor, Black",$198.00,4.7 out of 5 stars,"4,919",https://www.amazon.com/LG-24M47VQ-24-Inch-LED-lit-Monitor/dp/B00W95RR32/ref=sr_1_34?dchild=1&keywords=monitor&qid=1629407111&sr=8-34
"Smart Watch with Call, Fitness Tracker with Music Player, Health Monitor, Business Sport Smart Watch for Men Women, Waterproof Smartwatch for Android iOS Phones (Steel & Silicone watchbands)",$119.99,3.9 out of 5 stars,22,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A04234152L15UKEY129XO&url=%2FBusiness-Waterproof-Smartwatch-Silicone-watchbands%2Fdp%2FB094PVDMS7%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407111%26sr%3D8-37-spons%26psc%3D1&qualifier=1629407111&id=1503860663595328&widgetName=sp_btf
"Acrylic Dual Monitor Stand, NIUBEE Extra Large Computer Monitor Stand Riser, Premium Desk Monitor Stand for Laptop/Desktop Computer/Printer TV Screen Office/Home/School.",$49.99,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A09359732XQR9L3LMYFTA&url=%2FAcrylic-Monitor-NIUBEE-Computer-Premium%2Fdp%2FB08QV99PVC%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407111%26sr%3D8-38-spons%26psc%3D1&qualifier=1629407111&id=1503860663595328&widgetName=sp_btf
"USB C Docking Station, Dual HDMI Adapter 12 in 1 Triple Display USB C Hub with VGA, Gigabit Ethernet, 100W PD, 4 USB Ports, SD/TF Card Reader Audio for MacBook Pro and Type-C Laptops",$65.99,4.3 out of 5 stars,407,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A05434831NIJKLDHGPZ4B&url=%2FDocking-Station-Adapter-Display-Ethernet%2Fdp%2FB08BFHRWBH%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407114%26sr%3D8-33-spons%26psc%3D1&qualifier=1629407114&id=437526158680850&widgetName=sp_atf_next
"Accgonon Computer Privacy Screen Filters,18.5-inch Widescreen （16:9） Monitors Privacy Screen Protector,Anti-Glare Anti-Spy Anti-Blue Scratch and UV Protection,Easy Install",$42.99,3.9 out of 5 stars,70,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A03142792ZTYB0NTRM3OX&url=%2FAccgonon-Computer-Privacy-18-5-inch-Widescreen%2Fdp%2FB07H9CD1PM%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407114%26sr%3D8-34-spons%26psc%3D1&qualifier=1629407114&id=437526158680850&widgetName=sp_atf_next
"ViewSonic VA2252SM 22 Inch 1080p LED Monitor DisplayPort DVI and VGA Inputs for Home and Office,Black",$169.99,4.6 out of 5 stars,"1,065",https://www.amazon.com/ViewSonic-VA2252SM-Monitor-DisplayPort-Inputs/dp/B010BEDV7S/ref=sr_1_35?dchild=1&keywords=monitor&qid=1629407114&sr=8-35
"Dell P2719H 27 Inch Full HD (1920 x 1080) IPS LED-Backlit Monitor 2-Pack with USB, HDMI, VGA, and DisplayPort",$545.99,4.5 out of 5 stars,19,https://www.amazon.com/Dell-P2719H-LED-Backlit-Monitor-DisplayPort/dp/B08BWCMH5M/ref=sr_1_36?dchild=1&keywords=monitor&qid=1629407114&sr=8-36
"LG 27QN880-B 27"" QHD (2560x1440) Ergo IPS Monitor with HDR 10 Compatibility and USB Type-C Connectivity, Black",$348.40,4.6 out of 5 stars,541,https://www.amazon.com/LG-27QN880-B-2560x1440-Compatibility-Connectivity/dp/B089NJLJ2Q/ref=sr_1_38?dchild=1&keywords=monitor&qid=1629407114&sr=8-38
"HP 24f 24"" Ultra Slim Bezels Monitor HDMI VGA 1080p IPS w/AMD FreeSync - 2XN60AAT (Renewed)",$119.99,4.8 out of 5 stars,27,https://www.amazon.com/HP-Display-60-5-Silver-Renewed/dp/B07KXVM2DR/ref=sr_1_39?dchild=1&keywords=monitor&qid=1629407114&sr=8-39
"LG 24QP500-B 24” QHD (2560 x 1440) IPS Display QHD IPS Monitor with HDR 10 sRGB 99% Color Gamut and FreeSync with 3-Side Virtually Borderless Design, Black",$196.99,4.7 out of 5 stars,"2,276",https://www.amazon.com/LG-24QP500-B-FreeSync-Virtually-Borderless/dp/B08YJWYMD5/ref=sr_1_40?dchild=1&keywords=monitor&qid=1629407114&sr=8-40
"29"" Curved 100Hz LED Gaming Monitor Full HD 1080P Ultra Wide HDMI DP Ports with Speakers, VESA Wall Mount Ready(DP Cable Included)",$237.99,4.5 out of 5 stars,200,https://www.amazon.com/Curved-Gaming-Monitor-Speakers-Included/dp/B088FT7ZMY/ref=sr_1_41?dchild=1&keywords=monitor&qid=1629407114&sr=8-41
"GIGABYTE G27QC A (27"" 165Hz 1440P Curved Gaming Monitor, 2560 x 1440 VA 1500R Display, 1ms (MPRT) Response Time, 88% DCI-P3, HDR Ready, 1x Display Port 1.2)",$269.99,4.5 out of 5 stars,"1,297",https://www.amazon.com/GIGABYTE-G27QC-Monitor-Display-Response/dp/B0927BQT33/ref=sr_1_42?dchild=1&keywords=monitor&qid=1629407114&sr=8-42
"SideTrak Solo 15.6” 4k Portable Monitor for Laptop | Freestanding Ultra HD LED Anti-Glare USB Laptop Dual Screen | Compatible with Mac, PC, & Chrome | Powered by USB-C or Mini HDMI",$429.99,4.5 out of 5 stars,2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A03890701L6QD91X65UV0&url=%2FSideTrak-Portable-Freestanding-Anti-Glare-Compatible%2Fdp%2FB092G55T63%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407114%26sr%3D8-43-spons%26psc%3D1&qualifier=1629407114&id=437526158680850&widgetName=sp_mtf
MOTU Monitor 8,$995.00,,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A07459593SP70G3H94OO7&url=%2FMOTU-MOT-XAM8-E001-Monitor-8%2Fdp%2FB00QVJRFTI%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1629407114%26sr%3D8-44-spons%26psc%3D1%26smid%3DA2LXBKOLL3J3K6&qualifier=1629407114&id=437526158680850&widgetName=sp_mtf
"LG 32UN550-W 32-Inch UHD (3840 x 2160) VA Monitor with HDR 10, AMD FreeSync and Itle/Height Adjustable Stand (31.5"" Diagonal), Silver",$396.99,4.4 out of 5 stars,61,https://www.amazon.com/LG-32UN550-W-FreeSync-Adjustable-Diagonal/dp/B08MV7B7WF/ref=sr_1_45?dchild=1&keywords=monitor&qid=1629407114&sr=8-45
"ASUS TUF Gaming 27” 1080P Monitor (VG279Q1R) - Full HD, IPS, 144Hz, 1ms, Extreme Low Motion Blur, Speaker, FreeSync Premium, Shadow Boost, VESA Mountable, DisplayPort, HDMI, Tilt Adjustable",$199.99,4.6 out of 5 stars,"3,758",https://www.amazon.com/ASUS-Gaming-1080P-Monitor-VG279Q1R/dp/B08ZC46T7R/ref=sr_1_46?dchild=1&keywords=monitor&qid=1629407114&sr=8-46
"LG 43UN700-TB 43 Inch Monitor Class UHD 4K (3840 X 2160) IPS Display with USB Type-C and HDR10 with 4 HDMI Inputs, Black",$869.99,4.5 out of 5 stars,88,https://www.amazon.com/LG-43UN700-TB-Monitor-Display-Type-C/dp/B08DZSJ4MM/ref=sr_1_47?dchild=1&keywords=monitor&qid=1629407114&sr=8-47
"SAMSUNG CJ890 Series 49-Inch Ultrawide QHD (3840x1080) Computer Monitor, 144Hz, Curved, HDMI, USB-C, Height Adjustable Stand, 3 Yr WRNTY (LC49J890DKNXZA)",$999.99,4.5 out of 5 stars,596,https://www.amazon.com/Samsung-C49J890DKN-49-3840x1080-32/dp/B07CS4KF7J/ref=sr_1_48?dchild=1&keywords=monitor&qid=1629407114&sr=8-48
"Dell S2721Q 27 Inch 4K UHD, IPS Ultra-Thin Bezel Monitor, AMD FreeSync, HDMI, DisplayPort, VESA Certified, Silver",$379.99,4.6 out of 5 stars,"1,122",https://www.amazon.com/Dell-S2721Q-Ultra-Thin-DisplayPort-Certified/dp/B08DP756Z3/ref=sr_1_49?dchild=1&keywords=monitor&qid=1629407114&sr=8-49
"LG 32MN60T-B 32"" Class FHD IPS FreeSync Monitor (Renewed)",$179.99,4.7 out of 5 stars,174,https://www.amazon.com/LG-32MN60T-B-FreeSync-Monitor-Renewed/dp/B08HSN5K1Q/ref=sr_1_50?dchild=1&keywords=monitor&qid=1629407114&sr=8-50
LG 34GP83A-B 34 Inch 21: 9 UltraGear Curved QHD (3440 x 1440) 1ms Nano IPS Gaming Monitor with 160Hz and G-SYNC Compatibility - Black (34GP83A-B),$799.99,4.7 out of 5 stars,839,https://www.amazon.com/LG-34GP83A-B-Inch-Ultragear-Compatibility/dp/B08DWD38VX/ref=sr_1_51?dchild=1&keywords=monitor&qid=1629407114&sr=8-51
"ASUS TUF Gaming 23.6"" 1080P Curved Monitor (VG24VQE) - Full HD, 165Hz, 1ms, Extreme Low Motion Blur, Adaptive-Sync, FreeSync Premium, Shadow Boost, VESA Mountable, DisplayPort, HDMI",$189.99,4.8 out of 5 stars,"4,455",https://www.amazon.com/ASUS-Gaming-Curved-Monitor-VG24VQE/dp/B08K2DSMJV/ref=sr_1_52?dchild=1&keywords=monitor&qid=1629407114&sr=8-52
