Carhartt_Ngram_freq,Carhartt_Ngrams
5,but have
5,and stylish
5,that doesn
5,order more
5,return and
5,this jeans
5,weight and
5,makes them
5,but do
5,order another
5,feel of
5,small in
5,warm and
5,great value
5,for those
5,can say
5,find them
5,the exact
5,bought for
5,as all
5,on me
5,double knee
5,pretty much
5,bought more
5,great the
5,don think
5,low rise
5,these will
5,for summer
5,my jeans
5,after wash
5,to go
5,pair that
5,more colors
5,the belt
5,don know
5,will order
5,for several
5,will not
5,just bit
5,just as
5,to replace
5,below the
5,inseam but
5,comfort and
5,right and
5,out in
5,the 32
5,wrong size
5,price and
5,were bit
5,jean material
5,up for
5,we ordered
5,came in
5,down and
5,is really
5,very long
5,back to
5,no issues
5,the zipper
5,the 34
5,bought them
5,want to
5,the day
5,can be
5,wash and
5,husband likes
5,with boots
5,slim fit
5,the cut
5,back pockets
5,bought two
4,quickly and
4,and still
4,may be
4,the double
4,and this
4,in this
4,wear 34
4,fit just
4,the comfort
4,fit jeans
4,other shorts
4,in timely
4,at my
4,the fact
4,be better
4,fit exactly
4,the feel
4,really comfortable
4,are going
4,are tight
4,the small
4,are durable
4,durability of
4,are deep
4,the store
4,made of
4,ordered my
4,are way
4,the ones
4,is an
4,be very
4,re not
4,the new
4,than most
4,was way
4,down the
4,medium weight
4,was as
4,that don
4,is more
4,that he
4,are now
4,are no
4,are quality
4,that is
4,order size
4,are more
4,make them
4,during the
4,are lightweight
4,well as
4,ready to
4,weight material
4,be comfortable
4,is nice
4,weight denim
4,the perfect
4,fit of
4,me to
4,the money
4,or just
4,wear out
4,really well
4,what it
4,as it
4,them as
4,them at
4,as long
4,rear pocket
4,as my
4,jeans feel
4,love this
4,the hammer
4,reasonable price
4,way these
4,what wanted
4,and what
4,wear great
4,material to
4,more than
4,what he
4,as he
4,were in
4,enough room
4,back the
4,were just
4,because these
4,or going
4,the long
4,really nice
4,the bag
4,find the
4,out and
4,inch waist
4,waist than
4,right out
4,waist so
4,loves carhartt
4,washed them
4,don have
4,right size
4,regular jeans
4,fit not
4,every other
4,34 length
4,too much
4,with no
4,these work
4,my wife
4,tighter in
4,spot on
4,sizing is
4,come in
4,tight for
4,pants these
4,car hart
4,seems to
4,sehr gut
4,he said
4,tight and
4,not even
4,comfortable am
4,too short
4,they come
4,just wish
4,they could
4,without being
4,they did
4,of carhart
4,great with
4,some stretch
4,pretty good
4,get them
4,through the
4,tighter than
4,my waist
4,pants so
4,however they
4,size that
4,close to
4,says these
4,just fine
4,to tight
4,tired of
4,you like
4,up they
4,purchased these
4,my only
4,you get
4,bought this
4,my pants
4,husband loved
4,with carhartt
4,not comfortable
4,my second
4,size was
4,husband he
4,34 inch
4,these things
4,from now
4,buy more
4,up from
4,brand for
4,lightweight and
4,front pocket
4,tool pockets
4,they keep
4,but are
4,good for
4,though the
4,could not
4,work with
4,like my
4,new go
4,small side
4,knee pants
4,good length
4,of room
4,nice weight
4,of levi
4,next time
4,perfectly but
4,this style
4,works outside
4,like that
4,would not
4,shorts at
4,like to
4,good work
4,absolutely love
4,buy carhartt
4,snug in
4,liked the
4,this review
4,like wearing
4,worth the
4,perfectly the
4,work they
4,little small
4,great in
4,they may
4,heavy as
4,give them
4,heavy duty
4,comfortable pair
4,typically wear
4,so tight
4,shorts look
4,typical carhartt
4,go back
4,work boots
4,great on
4,so ordered
4,little big
4,fit on
4,heavy weight
4,thought they
4,short for
4,so if
4,shorts he
4,thick and
4,great look
4,like jeans
4,work or
4,thighs but
4,comfortable they
4,short is
4,husband wears
4,nice looking
4,my legs
4,and crotch
4,fits good
4,in and
4,not have
4,for all
4,jeans wear
4,for an
4,in all
4,you would
4,quality the
4,very light
4,not so
4,for carhartt
4,pockets but
4,bit longer
4,to carry
4,bit more
4,them relaxed
4,same as
4,size larger
4,very much
4,for great
4,carhartt makes
4,in other
4,carhartt quality
4,different colors
4,looks good
4,and love
4,them very
4,much that
4,has the
4,fleece lining
4,pair with
4,not relaxed
4,much more
4,very baggy
4,size but
4,them with
4,runs little
4,jeans these
4,ve owned
4,die hose
4,bigger than
4,very disappointed
4,fits perfectly
4,in construction
4,and deep
4,fit which
4,and long
4,should last
4,fit that
4,same shorts
4,jeans my
4,same thing
4,not your
4,my hubby
4,and shorts
4,pants even
4,for more
4,plan on
4,these denim
4,look and
4,look amazing
4,10 years
4,will probably
4,very satisfied
4,pants have
4,having to
4,when wear
4,pants is
4,for hot
4,for his
4,casual wear
4,carpenter shorts
4,my last
4,now on
4,for them
4,pair one
4,these do
4,for jeans
4,not tight
4,still wear
3,at first
3,like iron
3,carhartt what
3,really likes
3,to have
3,to lose
3,to give
3,out on
3,carpenter jeans
3,this one
3,levi and
3,comfortable the
3,like skinny
3,carhartt work
3,totally different
3,out the
3,like regular
3,by far
3,larger in
3,to it
3,larger size
3,really good
3,comfortable shorts
3,the office
3,out to
3,length was
3,the normal
3,this type
3,pocket on
3,tough as
3,the others
3,to purchase
3,to put
3,casual jeans
3,larger than
3,ever worn
3,carhartt would
3,buying another
3,buying carhartt
3,the loose
3,previous pairs
3,carhart jeans
3,cold days
3,time buy
3,lighter than
3,carhart shorts
3,especially in
3,carhart pants
3,it feels
3,tight great
3,carhart denim
3,many years
3,the fleece
3,christmas gift
3,color they
3,pockets for
3,carhartt always
3,to anyone
3,even more
3,it doesn
3,pockets not
3,pockets they
3,the full
3,the future
3,timely manner
3,carhartt brand
3,pockets that
3,leg openings
3,legs and
3,to their
3,material feels
3,the hem
3,even better
3,too high
3,we are
3,the middle
3,carhartt they
3,tool pocket
3,to exchange
3,it just
3,last month
3,length just
3,carhartt these
3,previous carhartt
3,to button
3,even try
3,last for
3,comfortable right
3,ever bought
3,top of
3,carhartt to
3,even after
3,the look
3,last pair
3,through amazon
3,can go
3,the lining
3,carhartt product
3,throughout the
3,it has
3,washed duck
3,can see
3,even the
3,many other
3,reasonably priced
3,tight around
3,too low
3,tight fitting
3,do fit
3,cut and
3,like you
3,up with
3,jeans at
3,their products
3,jeans because
3,bought from
3,pants look
3,waist these
3,bought before
3,been very
3,denim jeans
3,just bought
3,these would
3,pants however
3,put them
3,both sides
3,loved these
3,denim work
3,use for
3,these feel
3,jeans don
3,quality control
3,these on
3,these ones
3,denim carhartt
3,bought pairs
3,dry them
3,purchased as
3,up against
3,up and
3,re good
3,up but
3,just ordered
3,definitely not
3,purchased for
3,boyfriend who
3,the wolverine
3,pants or
3,up on
3,pants on
3,pants now
3,up size
3,pants my
3,double front
3,bought second
3,these before
3,pant was
3,look very
3,different from
3,better they
3,better the
3,loops and
3,jeans purchased
3,jeans pants
3,pair he
3,better and
3,them out
3,jeans of
3,very quickly
3,loose but
3,best price
3,best pants
3,them highly
3,bent down
3,very tall
3,very thin
3,pair is
3,jeans just
3,jeans should
3,do the
3,did the
3,them fit
3,bit on
3,jeans which
3,bit lighter
3,them being
3,jeans were
3,bit bigger
3,quality jeans
3,jeans very
3,then the
3,quality made
3,quality material
3,jeans to
3,them without
3,ve worn
3,pairs at
3,being too
3,pairs and
3,big but
3,lot longer
3,long for
3,be too
3,tried on
3,cover my
3,the rest
3,make me
3,but that
3,be bit
3,try them
3,knee pads
3,try to
3,was for
3,trying to
3,product will
3,the top
3,thighs and
3,crazy about
3,but never
3,thicker than
3,thick thighs
3,they where
3,two more
3,the rugged
3,little baggy
3,but there
3,it they
3,product from
3,perfect but
3,know what
3,perfect not
3,was perfect
3,tried them
3,buy another
3,know how
3,probably go
3,third pair
3,perfect if
3,likes these
3,the previous
3,based on
3,was not
3,think they
3,outside in
3,but will
3,but very
3,thing to
3,the really
3,they wash
3,but had
3,type of
3,over work
3,live in
3,the stitching
3,ll buy
3,purchase again
3,deal for
3,they can
3,just to
3,the style
3,pants very
3,pants ve
3,unlike the
3,pants to
3,just tad
3,due to
3,break in
3,be the
3,brands of
3,long but
3,the tool
3,over year
3,be perfect
3,but for
3,they felt
3,be durable
3,but fit
3,be great
3,keep you
3,but don
3,little longer
3,little loose
3,passt wie
3,passt perfekt
3,they looked
3,made these
3,be my
3,made the
3,durable for
3,durable enough
3,they had
3,little thinner
3,day in
3,keep him
3,the better
3,to me
3,may not
3,and dry
3,my hand
3,for over
3,and although
3,will keep
3,will hold
3,same style
3,and comfort
3,my dad
3,on them
3,ill be
3,my closet
3,my case
3,and don
3,for few
3,stretch in
3,in fact
3,for comfort
3,for cold
3,and flexible
3,and give
3,in america
3,and half
3,for about
3,and has
3,in black
3,one fit
3,in carhartt
3,in cold
3,and hold
3,and in
3,for relaxed
3,say they
3,my knee
3,my levis
3,seems little
3,how durable
3,seems like
3,full swing
3,full of
3,seem like
3,how to
3,my work
3,however the
3,on amazon
3,on and
3,am going
3,on both
3,my taste
3,with it
3,stand up
3,from other
3,husband and
3,seat and
3,husband has
3,on his
3,on how
3,fourth pair
3,found these
3,my old
3,amount of
3,still look
3,for very
3,on one
3,sturdy and
3,style and
3,hot days
3,and you
3,and thighs
3,only wish
3,in to
3,in waist
3,more they
3,fit differently
3,and we
3,and wear
3,more snug
3,and with
3,what the
3,and work
3,and would
3,what ordered
3,more pair
3,flex jeans
3,what kind
3,what else
3,inches larger
3,fine but
3,inseam and
3,what am
3,fine and
3,more durable
3,were the
3,were perfect
3,tend to
3,few times
3,into my
3,were loose
3,only thing
3,and that
3,and stretchy
3,and straight
3,one thing
3,and like
3,in general
3,and looks
3,and made
3,ones bought
3,fitting shorts
3,and now
3,in mind
3,fits very
3,in more
3,ones that
3,fits perfect
3,and perfect
3,fits just
3,fit with
3,fit way
3,super long
3,where they
3,and rugged
3,super soft
3,in size
3,room to
3,fit so
3,fit really
3,in style
3,when working
3,and slim
3,fit nicely
3,with their
3,son he
3,or maybe
3,years the
3,33 32
3,not crazy
3,34 32
3,now they
3,had the
3,not buy
3,34 they
3,had no
3,number of
3,shorts will
3,yoga pants
3,shorts we
3,sizes too
3,normally wear
3,shorts these
3,great item
3,he works
3,years and
3,of carhartts
3,no way
3,year and
3,shorts no
3,great service
3,wrong with
3,no more
3,no longer
3,shorts in
3,small and
3,of good
3,shorts had
3,half the
3,size smaller
3,hand in
3,you pay
3,have gotten
3,have just
3,zu tragen
3,not that
3,zu empfehlen
3,side pocket
3,single layer
3,not skinny
3,have nice
3,have not
3,have only
3,have ordered
3,have owned
3,have pairs
3,not only
3,size 38
3,your normal
3,have several
3,size comfortable
3,your hands
3,have stretch
3,now in
3,you won
3,you warm
3,size is
3,you to
3,32 and
3,32 inch
3,hands down
3,great jean
3,of jean
3,sent them
3,of your
3,so good
3,so got
3,good color
3,good as
3,of this
3,all around
3,him warm
3,work for
3,short but
3,of wear
3,short and
3,go wrong
3,work clothes
3,work but
3,so that
3,would suggest
3,needed to
3,so warm
3,his jeans
3,gift card
3,gift and
3,solid pair
3,getting the
3,ok but
3,get your
3,several pairs
3,also the
3,old and
3,get more
3,something to
3,short in
3,work pant
3,work the
3,again and
3,about 10
3,about an
3,great buy
3,great but
3,nice to
3,great as
3,smaller in
3,about them
3,got to
3,absolutely loves
3,of money
3,of movement
3,nice pants
3,shorter than
3,good thing
3,nice deep
3,good shorts
3,of pockets
3,good pants
3,good pair
3,good on
3,working outside
3,short pants
3,after few
3,so bought
3,him and
3,so comfortable
3,good it
3,new ones
3,feels like
3,for something
3,me and
3,are they
3,excellent work
3,as any
3,than you
3,is what
3,return these
3,ordered another
3,miss the
3,wear like
3,are supposed
3,as always
3,are cut
3,well so
3,the cold
3,expected they
3,favorite jean
3,is short
3,wear levi
3,well the
3,recommend to
3,wear if
3,is soft
3,wear for
3,is so
3,arrived in
3,the are
3,is at
3,as to
3,are always
3,that were
3,feel good
3,is no
3,are excellent
3,replace the
3,well in
3,wear they
3,that in
3,as if
3,weight work
3,the carhart
3,that hold
3,order the
3,is in
3,are really
3,rest of
3,are loose
3,the carpenter
3,regular fit
3,other carhart
3,is they
3,far the
3,the bottom
3,other brand
3,is way
3,return for
3,are getting
3,is that
3,thanks to
3,that my
3,that needed
3,the bill
3,are some
3,wearing carhartt
3,are fine
3,ordered second
3,fact that
3,the deepstone
3,feel much
3,that would
3,than normal
3,recommend them
3,other relaxed
3,everything is
3,wears them
3,ordered two
3,is right
3,ordered them
3,me what
3,extra pockets
3,the description
3,ask for
3,wear and
3,as work
2,company who
2,this last
2,shorts again
2,price you
2,reliable carhartt
2,it for
2,got pair
2,got the
2,the larger
2,comparable to
2,price will
2,shorts also
2,it gives
2,it good
2,this purchase
2,glad to
2,shorts after
2,end of
2,snow removal
2,shoes you
2,construction and
2,this and
2,good solid
2,they sit
2,good the
2,keep up
2,his favorite
2,is there
2,good too
2,snug than
2,this fit
2,this jean
2,this for
2,good value
2,good would
2,high or
2,got exactly
2,shorter in
2,got him
2,this shorts
2,got it
2,known for
2,this short
2,common of
2,got two
2,here they
2,they really
2,price could
2,small to
2,those with
2,comfortable would
2,great comfortable
2,comfortable working
2,his new
2,they ran
2,larger and
2,comfortable will
2,really what
2,small so
2,shorts do
2,expect they
2,shorts ever
2,give it
2,small no
2,shorts from
2,daily wear
2,expect these
2,especially like
2,extra pocket
2,those of
2,shorts comfortable
2,they shipped
2,they sent
2,so thought
2,they seemed
2,expected carhartt
2,shorts bought
2,especially for
2,comment on
2,is to
2,great clothing
2,those jeans
2,large and
2,great color
2,glad bought
2,large enough
2,so we
2,price is
2,those areas
2,so well
2,great colour
2,they stand
2,construction work
2,good short
2,expected the
2,him perfectly
2,him just
2,the 38
2,couple more
2,thighs than
2,thighs this
2,couldn even
2,could use
2,short legs
2,him but
2,the little
2,so decided
2,short need
2,going on
2,enough flex
2,so no
2,good in
2,the 36
2,cut differently
2,could find
2,good jean
2,thighs fit
2,relaxed but
2,so many
2,is slightly
2,currently have
2,him to
2,crouch in
2,thick denim
2,the many
2,products they
2,good but
2,so hard
2,so it
2,products for
2,thighs are
2,thigh and
2,him second
2,crotch area
2,crotch and
2,good comfortable
2,custom tailored
2,the lower
2,the added
2,him well
2,good jeans
2,the 33
2,probably the
2,so can
2,think about
2,short they
2,so am
2,think it
2,the 1st
2,think this
2,pocket got
2,think you
2,cut is
2,keeping them
2,expected in
2,continue to
2,good pockets
2,thinner and
2,the model
2,it ll
2,good purchase
2,good at
2,thinner denim
2,so the
2,extra fabric
2,problem with
2,things ve
2,correct length
2,product extremely
2,they way
2,the baggy
2,go with
2,the 30
2,thin not
2,knee they
2,is strong
2,the lightweight
2,thing is
2,go for
2,product and
2,great job
2,thing that
2,good material
2,enough stretch
2,short the
2,his clothes
2,they ve
2,thing ve
2,product but
2,the jean
2,the very
2,great just
2,even with
2,to bad
2,have very
2,size just
2,pockets deep
2,to but
2,exactly as
2,have tried
2,legs these
2,to carhartt
2,recommend this
2,hard on
2,to catch
2,hard time
2,pockets as
2,the company
2,harder to
2,size if
2,have these
2,have them
2,legs were
2,to cover
2,legs would
2,everything you
2,size down
2,length good
2,hang well
2,size or
2,legs in
2,tiny bit
2,clothing and
2,leg length
2,time will
2,excellent fit
2,size usually
2,excellent brand
2,size too
2,pockets than
2,haha they
2,size to
2,leg pocket
2,he bought
2,it again
2,size the
2,closer fit
2,to 36
2,size so
2,the flannel
2,should have
2,he absolutely
2,to amazon
2,exactly the
2,have got
2,hands into
2,even when
2,size carhartt
2,excellent price
2,to drop
2,to his
2,to how
2,catch on
2,to in
2,pocket opening
2,side for
2,recommend getting
2,have belt
2,have bit
2,issues will
2,have long
2,to knee
2,have but
2,case the
2,pocket is
2,the design
2,to long
2,the difference
2,have is
2,similar to
2,signs of
2,less rugged
2,have great
2,the different
2,less warm
2,pocket openings
2,have an
2,have always
2,length of
2,have shrunk
2,shrink to
2,size based
2,to expect
2,length in
2,everything was
2,to fall
2,size 50
2,have replaced
2,length not
2,size 36
2,to friend
2,side and
2,issue have
2,shrunk and
2,has some
2,the corner
2,ever had
2,cellphone pocket
2,to good
2,has very
2,have no
2,the dryer
2,pocket or
2,size very
2,time they
2,the calves
2,prefer the
2,great too
2,comfortable in
2,shorts over
2,great very
2,comfortable great
2,slightly above
2,great wear
2,slight stretch
2,is used
2,great would
2,exchange for
2,the heavy
2,comfortable durable
2,last very
2,last while
2,it but
2,comfortable but
2,grew up
2,comfortable as
2,he will
2,skip leg
2,he wants
2,he wanted
2,shorts same
2,guaranteed to
2,slightly different
2,great they
2,comfortable jean
2,regular blue
2,small compared
2,last as
2,last couple
2,held up
2,great looking
2,it does
2,great movement
2,great my
2,the canvas
2,shorts just
2,rear end
2,last forever
2,threw me
2,heavy fabric
2,slim guy
2,soft fabric
2,last lot
2,shorts my
2,three pairs
2,shorts nice
2,comfortable long
2,the hips
2,shorts not
2,shorts of
2,lasting and
2,skin tight
2,pockets which
2,shorts so
2,even close
2,the great
2,sizes run
2,shorts well
2,had been
2,except that
2,least inches
2,shorts what
2,color but
2,except for
2,had in
2,shorts would
2,had more
2,time as
2,excellent the
2,it and
2,size with
2,he doesn
2,cold water
2,the flex
2,time have
2,should buy
2,leg day
2,size wear
2,time so
2,shorts was
2,it before
2,tight through
2,he needs
2,tight at
2,comfort is
2,gut aus
2,sizing was
2,sizing up
2,the cell
2,gut und
2,come to
2,shorts this
2,gute qualität
2,guy and
2,sizing has
2,tight the
2,guy the
2,tight have
2,come along
2,shorts very
2,tight my
2,tight not
2,hab ich
2,layer of
2,colors in
2,lbs and
2,tight that
2,proven to
2,they fix
2,his size
2,disappointed in
2,durable but
2,jeans normally
2,jeans not
2,fit style
2,thanks carhartt
2,jeans nothing
2,fit to
2,is correct
2,fit totally
2,fast shipping
2,quality will
2,rough on
2,fit when
2,quality though
2,fit will
2,is cut
2,jeans own
2,in regular
2,super comfy
2,in place
2,fits fine
2,them shortened
2,rugged durable
2,return policy
2,in our
2,than your
2,supposed to
2,in below
2,in some
2,surprised at
2,in their
2,jeans ist
2,fit more
2,do it
2,them if
2,father day
2,the standard
2,do have
2,fit no
2,fit ok
2,fit over
2,jeans keep
2,sure why
2,sure they
2,do am
2,qualität und
2,qualität sehr
2,re too
2,qualität ist
2,them not
2,than year
2,them once
2,sure if
2,fit seems
2,differently and
2,them stars
2,fashion and
2,re worn
2,the second
2,flex in
2,that does
2,style but
2,far so
2,in every
2,them you
2,die qualität
2,in durability
2,runs on
2,ready for
2,in different
2,then get
2,die lieferung
2,jeans this
2,is going
2,in den
2,flexible enough
2,stuck with
2,is guaranteed
2,that fits
2,then these
2,that great
2,in between
2,quality looks
2,them which
2,style for
2,them we
2,durable product
2,fitted and
2,that bought
2,them super
2,jeans shorts
2,such great
2,in love
2,return as
2,in levi
2,it would
2,five stars
2,in length
2,them try
2,flex fit
2,stylish and
2,in july
2,run little
2,in his
2,them up
2,is excellent
2,style or
2,the short
2,it will
2,different brands
2,durable shorts
2,returned for
2,jeans is
2,them had
2,than one
2,jean which
2,the usa
2,dont know
2,their jeans
2,don want
2,few years
2,jeans am
2,right away
2,re looking
2,the typical
2,temperatures the
2,right for
2,find and
